"ID";"RowGuid";"Name";"Parent_ID";"AccountType_ID";"AccountNumber";"CustomerNumber";"AddressId";"Description";"PathByName";"OptimisticLockField";"CreateUser";"CreateTime";"UpdateUser";"UpdateTime";"FullName";"PathName";"Inactive";"Locked";"ResponsiblePerson_ID";"InvoiceAccount_ID";"KeyAccountManager_ID";"Salesperson_ID"
"1";"31bbe88e-ea5e-11e3-87e7-180373c0ede6";"$";"";"R";"";"";"";"Wurzel-Konto für die Kundenkonten (ROOT)";"$";"0";"Anonym";"02.06.2014 16:00:04";"";"";"$";"$";"False";"False";"";"";"";""
"2";"31bbe88f-ea5e-11e3-87e7-180373c0ede6";"TK";"1";"GRP";"";"";"";"Tauschkonten";"$:TK";"5";"Anonym";"02.06.2014 16:00:04";"DPL-SOEST\Schulz";"19.05.2017 16:44:15";"TK";"TK";"False";"False";"";"";"";""
"4";"31bbe891-ea5e-11e3-87e7-180373c0ede6";"DEP";"1";"GRP";"";"";"";"Depot Konten";"$:DEP";"0";"Anonym";"02.06.2014 16:00:04";"";"";"DEP";"DEP";"False";"False";"";"";"";""
"5";"31bbe892-ea5e-11e3-87e7-180373c0ede6";"HZL";"1";"GRP";"";"";"";"HZL Konten";"$:HZL";"0";"Anonym";"02.06.2014 16:00:04";"";"";"HZL";"HZL";"False";"False";"";"";"";""
"6";"31bbe893-ea5e-11e3-87e7-180373c0ede6";"PM";"1";"GRP";"";"";"";"Poolingkonten";"$:PM";"0";"Anonym";"02.06.2014 16:00:04";"";"";"PM";"PM";"False";"False";"";"";"";""
"7";"31bbe894-ea5e-11e3-87e7-180373c0ede6";"OPG";"1";"GRP";"";"";"";"OPG Konten";"$:OPG";"0";"Anonym";"02.06.2014 16:00:04";"";"";"OPG";"OPG";"False";"False";"";"";"";""
"8";"31bbe895-ea5e-11e3-87e7-180373c0ede6";"DPG";"1";"GRP";"";"";"";"DPG Konten";"$:DPG";"0";"Anonym";"02.06.2014 16:00:04";"";"";"DPG";"DPG";"False";"False";"";"";"";""
"9";"31bbe896-ea5e-11e3-87e7-180373c0ede6";"LAG";"1";"GRP";"";"";"";"Lager Konten";"$:LAG";"0";"Anonym";"02.06.2014 16:00:04";"";"";"LAG";"LAG";"False";"False";"";"";"";""
"10";"31bbe897-ea5e-11e3-87e7-180373c0ede6";"ERT";"1";"GRP";"";"";"";"Ertrag";"$:ERT";"0";"Anonym";"02.06.2014 16:00:04";"";"";"ERT";"ERT";"False";"False";"";"";"";""
"11";"31bbe898-ea5e-11e3-87e7-180373c0ede6";"AWD";"1";"GRP";"";"";"";"Aufwand";"$:AWD";"0";"Anonym";"02.06.2014 16:00:04";"";"";"AWD";"AWD";"False";"False";"";"";"";""
