AdressNr;Strasse;PLZ;Ort;Land;latitude;longitude;Kontoname
10000;Heilbronner Straße 86;70191;Stuttgart;Deutschland;48,7926029;9,1823274;SüdFactoring GmbH
10001;Gütersloher Str. 123;33415;Verl;Frankreich;51,8786831;8,4891526;BFS finance GmbH
10001;Gütersloher Str. 123;33415;Verl;Frankreich;48,5006021;11,6055778;BFS finance GmbH
10002;Raiffeisenstraße 64;78166;Donaueschingen;Deutschland;47,96539;8,50891;Paschke Hagelschaden-Zentrum GmbH
10002;Raiffeisenstraße 64;78166;Donaueschingen;Deutschland;51,5532638;8,1538138;Paschke Hagelschaden-Zentrum GmbH
10003;Plan 4;99713;Himmelsberg b. Ebeleben;Deutschland;51,2862655;10,7338206;Spedition Frank Verges
10003;Plan 4;99713;Himmelsberg b. Ebeleben;Deutschland;51,55356;8,15631;Spedition Frank Verges
10022;Einsteinstr. 15;59423;Unna;Deutschland;51,5303653;7,7211266;Varena
10022;Einsteinstr. 15;59423;Unna;Deutschland;48,22447;8,22281;Varena
10029;Weetfelder Str. 38;59199;Bönen;Deutschland;51,6186649;7,781672;Lidl GmbH & Co. KG
10029;Weetfelder Str. 38;59199;Bönen;Deutschland;52,0651992;6,9622023;Lidl GmbH & Co. KG
10032;Elsternweg 7;58708;Menden;Deutschland;51,4397428;7,7593179;SCHMALZ + SCHÖN Logistics GmbH
10032;Elsternweg 7;58708;Menden;Deutschland;51,2160257;5,3773754;SCHMALZ + SCHÖN Logistics GmbH
10051;Rönkhauser Str. 26;59757;Arnsberg;Deutschland;51,4089403;7,9921412;WEPA Hygieneprodukte GmbH
10066;Am Ladestrang 1;48317;Drensteinfurt;Deutschland;51,7972083;7,7324197;Umformtechnik Merten & Storck GmbH
10066;Am Ladestrang 1;48317;Drensteinfurt;Deutschland;51,49001;6,96807;Umformtechnik Merten & Storck GmbH
10093;Schlüterstraße 3;40235;Düsseldorf;Deutschland;51,2356912;6,8247743;METRO Cash & Carry Deutschland GmbH
10093;Schlüterstraße 3;40235;Düsseldorf;Deutschland;51,2561313;6,9859415;METRO Cash & Carry Deutschland GmbH
10114;Münchner Str. 23;30855;Langenhagen;Deutschland;52,4478008;9,7129625;DHL Freight GmbH
10114;Münchner Str. 23;30855;Langenhagen;Deutschland;52,3092;8,45624;DHL Freight GmbH
10123;Blumenthal 2;58845;Herscheid;Deutschland;51,40339;8,59307;Alberts Gustav GmbH & Co. KG
10125;Heinrich-Hertz-Str. 5;59423;Unna;Deutschland;51,5344483;7,7264661;DH Logistik GmbH
10125;Heinrich-Hertz-Str. 5;59423;Unna;Deutschland;51,6594;8,14218;DH Logistik GmbH
10153;Brede 1;59368;Werne;Deutschland;51,6660583;7,6771204;Klingele Papierwerke GmbH & Co. KG
10165;Berliner Straße 14;58135;Hagen;Deutschland;51,3522356;7,4435316;Transa Spedition GmbH
10178;Nienkamp 55-85;48147;Münster;Deutschland;51,98481;7,61732;Hengst GmbH & Co.KG
10186;Im Karweg 14;59846;Sundern-Stockum;Deutschland;51,2981501;7,9818899;Tillmann Papier- und Wellpappenfabrik e.K.
10187;Ernst-Moritz-Arndt Straße 10;41747;Viersen;Deutschland;51,2460216;6,3952145;Kaiser's Tengelmann GmbH
10208;Zu den Ohlwiesen 14;59755;Arnsberg;Deutschland;51,46376;7,95007;Neuhaus Metallproduktions GmbH
10218;Wiesenstr. 85;41460;Neuss;Deutschland;51,2226982;6,7078966;Hendricks Internationale Spedition
10233;Lietwerk 26;59581;Warstein-Allagen;Deutschland;51,4775929;8,234473;Naturstein Dassel GmbH
10243;Zum Container-Terminal 1;47119;Duisburg;Deutschland;51,447655;6,7449231;Van Eupen Service Logistik GmbH & Co. KG
10252;Balver Straße 92;58706;Menden;Deutschland;51,4289647;7,8099122;fischer Hydroforming GmbH
10257;Rudolf Diesel Str. 2;59423;Unna;Deutschland;51,5373498;7,6708441;BiERBACH Befestigungstechnik GmbH & Co. KG
10263;Zur Mersch 15;59457;Werl;Deutschland;51,56133;7,93165;Wernal Aluminium
10279;Asselner Hellweg 1 - 3;44309;Dortmund;Deutschland;51,5271926;7,5742652;REWE Dortmund SE & Co. KG
10281;Landstr. 2;58730;Fröndenberg;Deutschland;51,4794523;7,8042459;Kludi GmbH & CO. KG
