Id,RefLmsAddressNumber,Lat,Lng,Street1,PostalCode,City,CountryId
1,10000,48.7926029,9.1823274,Heilbronner Straße 86,70191,Stuttgart,1
2,10001,51.8786831,8.489152599999999,Gütersloher Str. 123,33415,Verl,2
3,10002,47.96539,8.50891,Raiffeisenstraße 64,78166,Donaueschingen,1
4,10003,51.33584339999999,10.7295511,Plan 4,99713,Himmelsberg b. Ebeleben,1
5,10022,51.5303653,7.721126599999999,Einsteinstr. 15,59423,Unna,1
6,10029,51.6186649,7.781671999999999,Weetfelder Str. 38,59199,Bönen,1
7,10032,51.4397428,7.759317899999998,Elsternweg 7,58708,Menden,1
8,10051,51.4089403,7.9921412,Rönkhauser Str. 26,59757,Arnsberg,1
9,10066,51.79723800000001,7.732356599999999,Am Ladestrang 1,48317,Drensteinfurt,1
10,10093,51.2356912,6.824774300000001,Schlüterstraße 3,40235,Düsseldorf,1
11,10114,52.4478008,9.7129625,Münchner Str. 23,30855,Langenhagen,1
12,10123,51.17654,7.7480527,Blumenthal 2,58845,Herscheid,1
13,10125,51.5344483,7.726466099999999,Heinrich-Hertz-Str. 5,59423,Unna,1
14,10153,51.6659703,7.6770573,Brede 1,59368,Werne,1
15,10165,51.3522356,7.4435316,Berliner Straße 14,58135,Hagen,1
16,10178,51.98481,7.617319999999999,Nienkamp 55-85,48147,Münster,1
17,10186,51.2981501,7.981889899999999,Im Karweg 14,59846,Sundern-Stockum,1
18,10187,51.2460216,6.395214500000001,Ernst-Moritz-Arndt Straße 10,41747,Viersen,1
19,10208,51.46376,7.95007,Zu den Ohlwiesen 14,59755,Arnsberg,1
20,10218,51.2226982,6.707896600000001,Wiesenstr. 85,41460,Neuss,1
21,10233,51.4775929,8.234473,Lietwerk 26,59581,Warstein-Allagen,1
22,10243,51.447655,6.744923099999999,Zum Container-Terminal 1,47119,Duisburg,1
23,10252,51.4289647,7.8099122,Balver Straße 92,58706,Menden,1
24,10257,51.5373498,7.6708441,Rudolf Diesel Str. 2,59423,Unna,1
25,10263,51.56133,7.931649999999999,Zur Mersch 15,59457,Werl,1
26,10279,51.5271926,7.574265199999999,Asselner Hellweg 1 - 3,44309,Dortmund,1
27,10281,51.4794523,7.804245900000001,Landstr. 2,58730,Fröndenberg,1
28,10291,51.46408,7.942139999999998,von Siemenstr. 14,59757,Arnsberg,1
29,10306,51.4320392,8.012832399999999,Eichenkamp,59759,Arnsberg,1
30,10329,51.8419914,8.3684788,Kapellenstrasse 130,33378,Rheda-Wiedenbrück-Lintel,1
31,10357,49.26511,6.73143,Thomas-Dachser-Str. 1,66802,Überherrn,1
32,10436,51.5228797,7.437358699999999,Westfaliastr. 191,44147,Dortmund,1
33,10451,51.65878,8.34321,Mercklinghausstr. 13-17,59557,Lippstadt,1
34,10515,51.6019207,7.4842995,An der Wethmarheide 7,44536,Lünen,1
35,10567,52.20553109999999,8.536783,Schnellweg 14- 18,32257,Bünde,1
36,10610,52.0239115,8.8747968,Isringhausen-Ring 58,32657,Lemgo,1
37,10646,51.55598,7.15691,Hohewardstr. 342,45699,Herten,1
38,10693,52.5170515,8.1972922,Hunteburger Str. 32,49401,Damme,1
39,10694,53.5510846,9.9936819,Postfach 60 09 23,22209,Hambrug,1
40,10699,51.34793,8.291355099999999,Fritz-Honsel-Straße 30,59872,Meschede,1
41,10700,51.5407991,7.6641735,Hansastr. 120,59425,Unna,1
42,10701,51.1451825,7.9210238,Röntgenstraße 28,57439,Attendorn,1
43,10702,51.7588444,8.086551,Auf dem Tigge 10,59269,Beckum,1
44,10705,50.5346665,9.676078799999999,Frankfurter Straße 80 - 88,36043,Fulda,1
45,10708,50.7043296,8.0811498,Graf-Zeppelin-Str. 11,56479,Liebenscheid,1
46,10713,50.89502,6.652839999999999,Hüttenstr. 130-138,50170,Kerpen,1
47,10723,51.6710872,8.374063999999999,Damaschkestraße 14,59557,Lippstadt,1
48,10724,51.6727796,8.351733099999999,Ferdinant Str. 7,59555,Lippstadt,1
49,10955,50.8202825,9.0001429,Rheinstr. 12,35260,Stadtallendorf,1
50,11284,51.5103192,7.371610400000001,Germaniastr. 60,44379,Dortmund - Marten,1
51,11285,51.74667179999999,7.9029199,Am Neuen Baum 5 - 9,59229,Ahlen,1
52,11287,51.5710942,8.3210489,Völlinghauser Str. 44,59609,Anröchte,1
53,11319,51.56637,8.126909999999999,Rigaring 27,59494,Soest,1
54,11331,51.2406388,7.6061132,Brockhauser Weg 80 - 82,58507,Lüdenscheid,1
55,11334,51.76665,7.904009999999999,Beckumer Str. 33-35,59229,Ahlen,1
56,11340,51.67664,7.78257,Hafenstr. 83,59067,Hamm,1
57,11366,51.5532638,8.1538138,Overweg 24,59494,Soest,1
58,11400,50.78308,7.22824,Alleestr. 1,53757,St. Augustin,1
59,11421,51.8340773,8.3666681,Nickelstr. 29,33378,Rheda-Wiedenbrück,1
60,11423,53.4958548,10.1125581,Rungedamm 37,21035,Hamburg,1
61,11428,51.8187,8.529399999999999,Westerwieher Str. 340,33397,Rietberg,1
62,11449,53.9605749,10.719162,Zeiss-Str. 2,23626,Ratekau,1
63,11452,50.7837614,6.107320000000001,Jülicher Straße 177,52070,Aachen,1
64,11455,52.29885,8.90597,Ringstr. 99,32427,Minden,1
65,11459,50.8004113,7.335814500000001,Katharinental,53773,Hennef/Sieg,1
66,11472,50.01961,10.21463,Romstraße 1,97424,Schweinfurt,1
67,11479,51.1810973,6.8553181,Reisholzer Bahnstr. 33,40599,Düsseldorf - Reisholz,1
68,11491,49.4234041,11.0713656,Vogelweiherstraße 1 - 15,90441,Nürnberg,1
69,11504,51.56098,7.907229999999999,Rustigestr. 11,59457,Werl,1
70,11522,48.270982,9.729959599999999,Talstr. 12,89584,Ehingen,1
71,11531,53.12147,9.143519999999999,Am Damm 26,28870,Ottersberg,1
72,11541,51.12878,6.96995,Winkelsweg 182 - 184,40764,Langenfeld,1
73,11547,51.46072299999999,6.611911600000001,Doctor-Berns-Str. 23,47441,Moers,1
74,11550,52.0062787,8.5779521,Brokstraße 77,33547,Bielefeld,1
75,11551,50.8292127,6.1645826,Grünen Weg 1 - 3,52146,Würselen,1
76,11555,52.1141403,8.1956704,Bahnhofsstr. 4,49201,Dissen,1
77,11580,52.2039511,7.066719699999999,Ochtruper Str. 165,48599,Gronau (Westf.),1
78,11585,51.44459,6.94959,Dessauer Str. 68 - 70,45472,Mülheim a.d.Ruhr,1
79,11586,53.03876,8.97426,In den Ellern 27,28832,Achim-Uphusen,1
80,11587,52.03879999999999,8.138567,Friedrich-Menzefricke-Str. 6,33775,Versmold,1
81,11589,51.4619048,7.0671708,Eckenbergstr. 14,45307,Essen,1
82,11593,51.55636819999999,8.1412768,Overweg 12,59494,Soest,1
83,11603,51.56171519999999,8.1317899,Coesterweg 31,59494,Soest,1
84,11613,51.53980929999999,8.5695435,Fürstenberger Str. 37,33142,Büren,1
85,11615,52.2687564,8.0379677,Parkstr. 32,49080,Osnabrück,1
86,11629,51.80204999999999,6.40722,Hurlerstr. 109,46459,Rees - Millingen,1
87,11630,49.5470689,8.5949524,Lilienthalstraße 12,68519,Viernheim,1
88,11637,51.7189205,8.757509299999999,Postfach 2426,33054,Paderborn,1
89,11643,52.9495444,8.020746899999999,Auf´m Halskamp 11,49681,Garrel,1
90,11648,51.48743,8.3244933,Emil-Siepmann Str. 32,59581,Warstein-Belecke,1
91,11685,51.5535003,8.1544518,Overweg 29,59494,Soest,1
92,11713,51.77314,7.945710000000001,Kruppstraße 55,59227,Ahlen,1
93,11729,51.7495109,8.752026599999999,An der Talle 27 - 31,33102,Paderborn,1
94,11741,51.57129,7.91879,Hafervöhde 1,59457,Werl,1
95,11743,51.4365418,6.7567925,Schifferstr. 26,47059,Duisburg,1
96,11751,48.36588,9.95219,Daimlerstr. 22-26,89079,Ulm- Donautal,1
97,11753,50.22479999999999,10.98309,Creidlitzer Str. 140,96450,Coburg,1
98,11754,50.0172906,8.7869609,Max -Planck-Str. 10,63128,Dietzenbach,1
99,11765,51.68169400000001,10.1017689,Osteroder Straße 12,37191,Katlenburg-Lindau,1
100,11768,51.62386,7.854789999999999,Heinrich - Welken Str. 8,59069,Hamm-Rhynern,1
101,11779,51.54733,9.88855,Robert-Bosch-Breite 11,37079,Göttingen,1
102,11786,51.676612,7.790020800000001,Hafenstr. 61,59067,Hamm,1
103,11803,51.56262,7.255490000000001,Friedrich der Große 18,44628,Herne,1
104,11807,52.4571705,9.7389914,Gaußstr. 33,30853,Langenhagen,1
105,11840,51.7090207,8.7276134,Wollmarktstraße 121,33098,Paderborn,1
106,11842,50.34717939999999,7.5107656,Am Rübenacher Wald 9,56072,Koblenz,1
107,11858,52.2935544,8.031106099999999,Elbestr. 1,49090,Osnabrück,1
108,11867,51.8626839,8.3221329,In der Mark 2,33378,Rheda-Wiedenbrück,1
109,11878,49.16791,10.31745,Industriestr. 6,91555,Feuchtwangen,1
110,11890,52.38534190000001,13.492838,Thomas-Dachser-Allee 2,12529,Schönefeld,1
111,11894,49.3865414,11.1661486,Thomas-Dachser-Str. 4,90475,Nürnberg,1
112,11895,53.5023116,10.1068791,Rungedamm 34,21035,Hamburg,1
113,11897,53.09516,8.69897,Ludwig-Erhardt-Str. 42,28197,Bremen,1
114,11908,51.79709,6.13915,Flutstr. 63,47533,Kleve,1
115,11918,52.0383903,8.1385623,Friedrich-Menzefricke-Str. 16 - 18,33775,Versmold,1
116,11919,52.15452,7.554729999999998,Grevener Damm 238-244,48282,Emsdetten,1
117,11924,52.05512,8.67482,Thomas-Dachser-Str. 7-9,32107,Bad Salzuflen,1
118,11926,50.56863999999999,7.02748,Albert Einstein Straße 13,53501,Grafschaft Gelsdorf,1
119,11937,50.0841627,8.8374768,Carl-Legien-Str. 22,63073,Offenbach,1
120,11938,52.45091,9.70957,Kemptener Str. 9,30855,Langenhagen,1
121,11946,50.8824279,7.097604599999999,Aug der Kaiserbitz 3,51147,Köln,1
122,11947,51.22407,6.71479,Am Hochofen 50-64,41460,Neuss,1
123,11948,50.0249879,8.5805154,"CargoCity Süd, Gebäude 563",60549,Frankfurt am Main- Flughafen,1
124,11954,51.5363992,12.1669567,Brehnaer Str. 4,06188,Landsberg,1
125,11955,48.87729,9.18013,Steinbeisstr. 21,70806,Kornwestheim,1
126,11957,51.9070284,8.408832499999999,Carl-Bertelsmann Str. 161,33311,Gütersloh,1
127,11958,51.7991113,6.4199924,Reeser Str. 22,46459,Rees,1
128,11987,47.92078,7.72913,Karl Dischinger Str. 100,79238,Ehrenkirchen,1
129,12000,48.30892550000001,10.6536351,Zollerstr. 7,86850,Aretsried / Fischach,1
130,12014,51.4389738,6.6504299,Chemnitzer Str. 24,47441,Moers,1
131,12015,51.55887000000001,8.14013,Am Silberg 14,59494,Soest,1
132,12024,51.59643,8.341000000000001,Hüchtchenweg 1,59597,Erwitte,1
133,12047,51.2267283,7.2095273,Dickestraße 23,42369,Wuppertal,1
134,12123,52.0415481,8.585553700000002,Kammerratsheide 66,33609,Bielefeld,1
135,12131,52.2474547,8.0310635,Eduard-Pestel-Str. 15,49080,Osnabrück,1
136,12164,48.50463999999999,8.6315,Bühlwiesenweg 15,72221,Haiterbach,1
137,20199,51.2768667,6.7972486,Franz-Rennefeld-Weg 8,40472,Düsseldorf - Rath,1
138,20200,51.3404904,7.0561927,Metallstr. 15,42551,Velbert,1
139,20201,53.6286488,14.0145408,Pasewalker Str. 5-8,17358,Torgelow,1
140,20202,52.9164361,12.7865968,Junker Str. 26,16816,Neuruppin,1
141,20203,47.8498837,12.1571933,Hofmühlstr. 54,83071,Stephanskirchen,1
142,21089,52.2640994,7.869994499999999,Am Velper Mühlenbach 8,49492,Westerkappeln,1
143,21092,51.0426254,10.324892,Am Reitenberg,99817,Eisenach Neukirchen,1
144,21098,51.4965185,9.1517617,Oberer Hilgenstock,34414,Warburg,1
145,21099,51.84611,8.02582,Westkirchener Str. 73,59320,Ennigerloh,1
146,21254,51.5610584,8.1339163,Coesterweg 43,59494,Soest,1
147,21629,52.5479377,13.5126937,Wollenberger Straße 2,13053,Berlin,1
148,22003,49.91505,8.18478,Reichelsheimer Str. 1,55268,Nieder-Olm,1
149,22007,49.88950999999999,8.62387,Bunsenstr. 16-18,64293,Darmstadt,1
150,22044,53.2752889,10.4226589,Lüner Rennbahn,21339,Lüneburg,1
151,22052,51.61006,7.759999999999999,Robert-Bosch-Straße 1,59199,Bönen,1
152,22054,50.41072759999999,7.4471709,Miesenheimer Weg 11,56575,Weißenthurm,1
153,22055,51.6878077,7.8904543,Braamer Straße 32,59071,Hamm (Werries),1
154,22057,53.08809,8.711269999999999,Ludwig - Erhardt - Str. 31,28197,Bremen,1
155,22062,52.4193757,13.3837963,Hollabergweg,12277,Berlin,1
156,22065,49.0142299,12.1613231,Äußere Wiener Str. 19,93063,Regensburg,1
157,22067,51.5554935,8.1461124,Overweg 20,59494,Soest,1
158,22077,51.5279239,8.1669099,Königsplatz 3,59494,Soest-Bergede,1
159,22111,47.4686847,9.671536999999999,Lustenauerstr. 51,6971,Hard,3
160,22119,49.4309473,11.0322761,Kirchhoffstr. 5,90431,Nürnberg,1
161,22133,51.32429,13.11405,Gewerbestraße 10,04758,Oschatz,1
162,22138,49.70753999999999,7.16871,Am Sauerbrunnen 25-33,55767,Schwollen,1
163,22139,51.22599,6.70077,Burgunder Str. 49 - 51,40549,Düsseldorf,1
164,22141,49.3016626,8.8187517,Friedrich Ruschitzka Str. 1,74939,Zuzenhausen,1
165,22147,51.30445,6.83041,Halskestr. 15,40880,Ratingen,1
166,22149,51.352759,7.992792499999999,Zum Breiten Ohl 28,59846,Sundern-Stemel,1
167,22173,53.3632536,9.8044732,Walther-Blohm-Str. 19-20,21279,Wenzendorf,1
168,22183,49.08506,9.613769999999999,Haller Str. 10,74535,Mainhardt,1
169,22191,47.9438,7.680899999999999,Elsässer Str. 14,79189,Bad Krotzingen,1
170,22227,51.9419575,8.5667277,Fuggerstr. 11,33689,Bielefeld,1
171,22229,47.7756536,8.9081529,Thomas-Dachser-Str. 1,78256,Steißlingen,1
172,22232,51.74943,10.22567,Rolandsweg 3-7,37520,Osterode,1
173,22236,52.4287723,7.062497899999999,Denekamper Str. 21,48529,Nordhorn,1
174,22241,51.47636439999999,6.7258631,Am Nienhaushof 1,47139,Duisburg,1
175,22246,47.48960140000001,8.873941799999999,Im Trottenacker 2,8353,Elgg,4
176,22249,47.676664,9.1467913,Karl-Benz-Str. 13,78467,Konstanz,1
177,22252,51.67279,8.592839999999999,Johann-Reineke-Str. 16,33154,Salzkotten,1
178,22255,51.533676,17.972758,ul. Kaliska 11 c,63-510,Mikstat,5
179,22257,51.5072027,7.4081946,Auf dem Brümmer 5,44149,Dortmund,1
180,22260,50.88259,10.92899,Industriestr. 7,99334,Amt Wachsenburg,1
181,22261,50.2245778,6.9700643,Industriestr. 1,56766,Ulmen,1
182,22262,47.8759925,14.1289503,Bader-Moser-Str. 30,4563,Micheldorf,3
183,22270,51.93539999999999,6.86885,Weseker Weg 47,46354,Südlohn,1
184,22271,53.2854774,10.7366204,Industriestr. 20,21354,Bleckede,1
185,22277,51.51667020000001,18.1971614,Renta 5,63-522,Kraszewice,5
186,22278,51.49773399999999,7.091821899999999,Wembkenstraße 16,45884,Gelsenkirchen,1
187,22288,51.5564482,8.1381608,Overweg 5,59494,Soest,1
188,22294,51.5454689,6.5707635,An der Rheinberger Heide 11,47495,Rheinberg,1
189,22295,51.5862365,7.036629500000001,Sperberstraße 21,45894,Gelsenkirchen,1
190,22296,50.7515935,8.2774591,Kasseler Str. 34,35683,Dillenburg,1
191,22297,51.3107493,7.0637691,Milchstraße 15,42553,Velbert,1
192,22304,47.5265527,7.690687499999999,Grüssenweg 4,4133,Pratteln,4
193,22305,48.24932,10.35469,Michael-Faist-Str. 19,86381,Krumbach,1
194,22306,52.1383205,9.295859799999999,Goldbinnen 11,31840,Hessisch-Oldendorf,1
