adressNr;street;postalCode;city;country;search;latitude;longitude;errors
10000;Heilbronner Straße 86;70191;Stuttgart;Deutschland;Heilbronner Straße 86, 70191 Stuttgart, Deutschland;48.7926029;9.1823274;
10001;Gütersloher Str. 123;33415;Verl;Frankreich;Gütersloher Str. 123, 33415 Verl, Frankreich;51.8786831;8.489152599999999;
10002;Raiffeisenstraße 64;78166;Donaueschingen;Deutschland;Raiffeisenstraße 64, 78166 Donaueschingen, Deutschland;47.96539;8.50891;
10003;Plan 4;99713;Himmelsberg b. Ebeleben;Deutschland;Plan 4, 99713 Himmelsberg b. Ebeleben, Deutschland;51.33584339999999;10.7295511;
10022;Einsteinstr. 15;59423;Unna;Deutschland;Einsteinstr. 15, 59423 Unna, Deutschland;51.5303653;7.721126599999999;
10029;Weetfelder Str. 38;59199;Bönen;Deutschland;Weetfelder Str. 38, 59199 Bönen, Deutschland;51.6186649;7.781671999999999;
10032;Elsternweg 7;58708;Menden;Deutschland;Elsternweg 7, 58708 Menden, Deutschland;51.4397428;7.759317899999998;
10051;Rönkhauser Str. 26;59757;Arnsberg;Deutschland;Rönkhauser Str. 26, 59757 Arnsberg, Deutschland;51.4089403;7.9921412;
10066;Am Ladestrang 1;48317;Drensteinfurt;Deutschland;Am Ladestrang 1, 48317 Drensteinfurt, Deutschland;51.79723800000001;7.732356599999999;
10093;Schlüterstraße 3;40235;Düsseldorf;Deutschland;Schlüterstraße 3, 40235 Düsseldorf, Deutschland;51.2356912;6.824774300000001;
10114;Münchner Str. 23;30855;Langenhagen;Deutschland;Münchner Str. 23, 30855 Langenhagen, Deutschland;52.4478008;9.7129625;
10123;Blumenthal 2;58845;Herscheid;Deutschland;Blumenthal 2, 58845 Herscheid, Deutschland;51.17654;7.7480527;
10125;Heinrich-Hertz-Str. 5;59423;Unna;Deutschland;Heinrich-Hertz-Str. 5, 59423 Unna, Deutschland;51.5344483;7.726466099999999;
10153;Brede 1;59368;Werne;Deutschland;Brede 1, 59368 Werne, Deutschland;51.6659703;7.6770573;
10165;Berliner Straße 14;58135;Hagen;Deutschland;Berliner Straße 14, 58135 Hagen, Deutschland;51.3522356;7.4435316;
10178;Nienkamp 55-85;48147;Münster;Deutschland;Nienkamp 55-85, 48147 Münster, Deutschland;51.98481;7.617319999999999;
10186;Im Karweg 14;59846;Sundern-Stockum;Deutschland;Im Karweg 14, 59846 Sundern-Stockum, Deutschland;51.2981501;7.981889899999999;
10187;Ernst-Moritz-Arndt Straße 10;41747;Viersen;Deutschland;Ernst-Moritz-Arndt Straße 10, 41747 Viersen, Deutschland;51.2460216;6.395214500000001;
10208;Zu den Ohlwiesen 14;59755;Arnsberg;Deutschland;Zu den Ohlwiesen 14, 59755 Arnsberg, Deutschland;51.46376;7.95007;
10218;Wiesenstr. 85;41460;Neuss;Deutschland;Wiesenstr. 85, 41460 Neuss, Deutschland;51.2226982;6.707896600000001;
10233;Lietwerk 26;59581;Warstein-Allagen;Deutschland;Lietwerk 26, 59581 Warstein-Allagen, Deutschland;51.4775929;8.234473;
10243;Zum Container-Terminal 1;47119;Duisburg;Deutschland;Zum Container-Terminal 1, 47119 Duisburg, Deutschland;51.447655;6.744923099999999;
10252;Balver Straße 92;58706;Menden;Deutschland;Balver Straße 92, 58706 Menden, Deutschland;51.4289647;7.8099122;
10257;Rudolf Diesel Str. 2;59423;Unna;Deutschland;Rudolf Diesel Str. 2, 59423 Unna, Deutschland;51.5373498;7.6708441;
10263;Zur Mersch 15;59457;Werl;Deutschland;Zur Mersch 15, 59457 Werl, Deutschland;51.56133;7.931649999999999;
10279;Asselner Hellweg 1 - 3;44309;Dortmund;Deutschland;Asselner Hellweg 1 - 3, 44309 Dortmund, Deutschland;51.5271926;7.574265199999999;
10281;Landstr. 2;58730;Fröndenberg;Deutschland;Landstr. 2, 58730 Fröndenberg, Deutschland;51.4794523;7.804245900000001;
10291;von Siemenstr. 14;59757;Arnsberg;Deutschland;von Siemenstr. 14, 59757 Arnsberg, Deutschland;51.46408;7.942139999999998;
10306;Eichenkamp;59759;Arnsberg;Deutschland;Eichenkamp, 59759 Arnsberg, Deutschland;51.4320392;8.012832399999999;
10329;Kapellenstrasse 130;33378;Rheda-Wiedenbrück-Lintel;Deutschland;Kapellenstrasse 130, 33378 Rheda-Wiedenbrück-Lintel, Deutschland;51.8419914;8.3684788;
10357;Thomas-Dachser-Str. 1;66802;Überherrn;Deutschland;Thomas-Dachser-Str. 1, 66802 Überherrn, Deutschland;49.26511;6.73143;
10436;Westfaliastr. 191;44147;Dortmund;Deutschland;Westfaliastr. 191, 44147 Dortmund, Deutschland;51.5228797;7.437358699999999;
10451;Mercklinghausstr. 13-17;59557;Lippstadt;Deutschland;Mercklinghausstr. 13-17, 59557 Lippstadt, Deutschland;51.65878;8.34321;
10515;An der Wethmarheide 7;44536;Lünen;Deutschland;An der Wethmarheide 7, 44536 Lünen, Deutschland;51.6019207;7.4842995;
10567;Schnellweg 14- 18;32257;Bünde;Deutschland;Schnellweg 14- 18, 32257 Bünde, Deutschland;52.20553109999999;8.536783;
10610;Isringhausen-Ring 58;32657;Lemgo;Deutschland;Isringhausen-Ring 58, 32657 Lemgo, Deutschland;52.0239115;8.8747968;
10646;Hohewardstr. 342;45699;Herten;Deutschland;Hohewardstr. 342, 45699 Herten, Deutschland;51.55598;7.15691;
10693;Hunteburger Str. 32;49401;Damme;Deutschland;Hunteburger Str. 32, 49401 Damme, Deutschland;52.5170515;8.1972922;
10694;Postfach 60 09 23;22209;Hambrug;Deutschland;Postfach 60 09 23, 22209 Hambrug, Deutschland;53.5510846;9.9936819;
10699;Fritz-Honsel-Straße 30;59872;Meschede;Deutschland;Fritz-Honsel-Straße 30, 59872 Meschede, Deutschland;51.34793;8.291355099999999;
10700;Hansastr. 120;59425;Unna;Deutschland;Hansastr. 120, 59425 Unna, Deutschland;51.5407991;7.6641735;
10701;Röntgenstraße 28;57439;Attendorn;Deutschland;Röntgenstraße 28, 57439 Attendorn, Deutschland;51.1451825;7.9210238;
10702;Auf dem Tigge 10;59269;Beckum;Deutschland;Auf dem Tigge 10, 59269 Beckum, Deutschland;51.7588444;8.086551;
10705;Frankfurter Straße 80 - 88;36043;Fulda;Deutschland;Frankfurter Straße 80 - 88, 36043 Fulda, Deutschland;50.5346665;9.676078799999999;
10708;Graf-Zeppelin-Str. 11;56479;Liebenscheid;Deutschland;Graf-Zeppelin-Str. 11, 56479 Liebenscheid, Deutschland;50.7043296;8.0811498;
10713;Hüttenstr. 130-138;50170;Kerpen;Deutschland;Hüttenstr. 130-138, 50170 Kerpen, Deutschland;50.89502;6.652839999999999;
10723;Damaschkestraße 14;59557;Lippstadt;Deutschland;Damaschkestraße 14, 59557 Lippstadt, Deutschland;51.6710872;8.374063999999999;
10724;Ferdinant Str. 7;59555;Lippstadt;Deutschland;Ferdinant Str. 7, 59555 Lippstadt, Deutschland;51.6727796;8.351733099999999;
10955;Rheinstr. 12;35260;Stadtallendorf;Deutschland;Rheinstr. 12, 35260 Stadtallendorf, Deutschland;50.8202825;9.0001429;
11284;Germaniastr. 60;44379;Dortmund - Marten;Deutschland;Germaniastr. 60, 44379 Dortmund - Marten, Deutschland;51.5103192;7.371610400000001;
11285;Am Neuen Baum 5 - 9;59229;Ahlen;Deutschland;Am Neuen Baum 5 - 9, 59229 Ahlen, Deutschland;51.74667179999999;7.9029199;
11287;Völlinghauser Str. 44;59609;Anröchte;Deutschland;Völlinghauser Str. 44, 59609 Anröchte, Deutschland;51.5710942;8.3210489;
11319;Rigaring 27;59494;Soest;Deutschland;Rigaring 27, 59494 Soest, Deutschland;51.56637;8.126909999999999;
11331;Brockhauser Weg 80 - 82;58507;Lüdenscheid;Deutschland;Brockhauser Weg 80 - 82, 58507 Lüdenscheid, Deutschland;51.2406388;7.6061132;
11334;Beckumer Str. 33-35;59229;Ahlen;Deutschland;Beckumer Str. 33-35, 59229 Ahlen, Deutschland;51.76665;7.904009999999999;
11340;Hafenstr. 83;59067;Hamm;Deutschland;Hafenstr. 83, 59067 Hamm, Deutschland;51.67664;7.78257;
11366;Overweg 24;59494;Soest;Deutschland;Overweg 24, 59494 Soest, Deutschland;51.5532638;8.1538138;
11400;Alleestr. 1;53757;St. Augustin;Deutschland;Alleestr. 1, 53757 St. Augustin, Deutschland;50.78308;7.22824;
11421;Nickelstr. 29;33378;Rheda-Wiedenbrück;Deutschland;Nickelstr. 29, 33378 Rheda-Wiedenbrück, Deutschland;51.8340773;8.3666681;
11423;Rungedamm 37;21035;Hamburg;Deutschland;Rungedamm 37, 21035 Hamburg, Deutschland;53.4958548;10.1125581;
11428;Westerwieher Str. 340;33397;Rietberg;Deutschland;Westerwieher Str. 340, 33397 Rietberg, Deutschland;51.8187;8.529399999999999;
11449;Zeiss-Str. 2;23626;Ratekau;Deutschland;Zeiss-Str. 2, 23626 Ratekau, Deutschland;53.9605749;10.719162;
11452;Jülicher Straße 177;52070;Aachen;Deutschland;Jülicher Straße 177, 52070 Aachen, Deutschland;50.7837614;6.107320000000001;
11455;Ringstr. 99;32427;Minden;Deutschland;Ringstr. 99, 32427 Minden, Deutschland;52.29885;8.90597;
11459;Katharinental;53773;Hennef/Sieg;Deutschland;Katharinental, 53773 Hennef/Sieg, Deutschland;50.8004113;7.335814500000001;
11472;Romstraße 1;97424;Schweinfurt;Deutschland;Romstraße 1, 97424 Schweinfurt, Deutschland;50.01961;10.21463;
11479;Reisholzer Bahnstr. 33;40599;Düsseldorf - Reisholz;Deutschland;Reisholzer Bahnstr. 33, 40599 Düsseldorf - Reisholz, Deutschland;51.1810973;6.8553181;
11491;Vogelweiherstraße 1 - 15;90441;Nürnberg;Deutschland;Vogelweiherstraße 1 - 15, 90441 Nürnberg, Deutschland;49.4234041;11.0713656;
11504;Rustigestr. 11;59457;Werl;Deutschland;Rustigestr. 11, 59457 Werl, Deutschland;51.56098;7.907229999999999;
11522;Talstr. 12;89584;Ehingen;Deutschland;Talstr. 12, 89584 Ehingen, Deutschland;48.270982;9.729959599999999;
11531;Am Damm 26;28870;Ottersberg;Deutschland;Am Damm 26, 28870 Ottersberg, Deutschland;53.12147;9.143519999999999;
11541;Winkelsweg 182 - 184;40764;Langenfeld;Deutschland;Winkelsweg 182 - 184, 40764 Langenfeld, Deutschland;51.12878;6.96995;
11547;Doctor-Berns-Str. 23;47441;Moers;Deutschland;Doctor-Berns-Str. 23, 47441 Moers, Deutschland;51.46072299999999;6.611911600000001;
11550;Brokstraße 77;33547;Bielefeld;Deutschland;Brokstraße 77, 33547 Bielefeld, Deutschland;52.0062787;8.5779521;
11551;Grünen Weg 1 - 3;52146;Würselen;Deutschland;Grünen Weg 1 - 3, 52146 Würselen, Deutschland;50.8292127;6.1645826;
11555;Bahnhofsstr. 4;49201;Dissen;Deutschland;Bahnhofsstr. 4, 49201 Dissen, Deutschland;52.1141403;8.1956704;
11580;Ochtruper Str. 165;48599;Gronau (Westf.);Deutschland;Ochtruper Str. 165, 48599 Gronau (Westf.), Deutschland;52.2039511;7.066719699999999;
